Filename,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Average Number of Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Average Word Length
blackassign0001.txt,6,1,0.7142856122449125,0.04347826059951391,6.708333333333333,0.9875776397515528,3.0783643892339545,6.708333333333333,159,161,2.093167701863354,0,6.366459627329193
blackassign0002.txt,57,31,0.2954545420971075,0.1168658696987173,9.779220779220779,0.9946879150066401,4.3095634776909675,9.779220779220779,749,753,2.49535192563081,0,7.450199203187251
blackassign0003.txt,38,24,0.22580644797086374,0.10130718937694903,10.928571428571429,0.9967320261437909,4.770121381886088,10.928571428571429,610,612,2.8120915032679736,0,8.320261437908497
blackassign0004.txt,38,75,-0.3274336254209414,0.18739635126468268,11.823529411764707,0.9966832504145937,5.12808506487172,11.823529411764707,601,603,2.6782752902155886,0,8.097844112769486
blackassign0005.txt,21,8,0.4482758466111777,0.08033240974977172,9.5,1.0,4.2,9.5,361,361,2.3573407202216066,0,7.578947368421052
blackassign0006.txt,87,27,0.5263157848568791,0.10674157293376256,12.275862068965518,0.9850187265917603,5.304352318222911,12.275862068965518,1052,1068,2.592696629213483,0,8.0
blackassign0007.txt,24,43,-0.2835820853196704,0.1398747387476519,8.11864406779661,0.9770354906054279,3.6382718233608156,8.11864406779661,468,479,2.384133611691023,0,7.202505219206681
blackassign0008.txt,30,9,0.5384615246548328,0.08210526298504155,10.106382978723405,0.9494736842105264,4.422342665173573,10.106382978723405,451,475,2.785263157894737,0,8.174736842105263
blackassign0009.txt,38,50,-0.13636363481404962,0.15172413766944115,10.357142857142858,0.9862068965517241,4.537339901477833,10.357142857142858,572,580,2.7810344827586206,0,8.225862068965517
blackassign0010.txt,60,69,-0.06976744131963224,0.1824611029951045,8.8375,0.9985855728429985,3.9344342291371994,8.8375,706,707,2.6421499292786423,0,8.022630834512023
blackassign0011.txt,60,19,0.518987335202692,0.10180412358014933,11.757575757575758,0.9858247422680413,5.09736019993752,11.757575757575758,765,776,2.643041237113402,0,7.876288659793815
blackassign0012.txt,80,24,0.5384615332840237,0.12235294103252595,10.759493670886076,0.9988235294117647,4.703326880119136,10.759493670886076,849,850,2.550588235294118,0,7.788235294117647
blackassign0013.txt,38,13,0.49019606881968497,0.184115522801027,11.541666666666666,1.0,5.016666666666667,11.541666666666666,277,277,2.6353790613718413,0,8.155234657039712
blackassign0014.txt,21,27,-0.1249999973958334,0.0892193306891834,7.911764705882353,0.9907063197026023,3.560988410233982,7.911764705882353,533,538,2.366171003717472,0,7.356877323420075
blackassign0015.txt,34,27,0.11475409647944104,0.09516380640380061,10.864406779661017,0.9875195007800313,4.74077051217642,10.864406779661017,633,641,2.4165366614664587,0,7.494539781591263
blackassign0016.txt,34,27,0.11475409647944104,0.09516380640380061,10.864406779661017,0.9875195007800313,4.74077051217642,10.864406779661017,633,641,2.4165366614664587,0,7.494539781591263
blackassign0017.txt,42,12,0.55555554526749,0.09440559424054966,9.225806451612904,0.9772727272727273,4.081231671554252,9.225806451612904,559,572,2.444055944055944,0,7.396853146853147
blackassign0018.txt,33,10,0.5348837084910766,0.07719928172854706,12.659090909090908,0.9838420107719928,5.457173167945161,12.659090909090908,548,557,2.466786355475763,0,7.712746858168761
blackassign0019.txt,59,6,0.815384602840237,0.07917174168188582,8.73404255319149,0.9890377588306942,3.8892321248088737,8.73404255319149,812,821,2.454323995127893,0,7.468940316686967
blackassign0020.txt,8,0,0.9999998750000157,0.04081632632236568,7.84,1.0,3.536,7.84,196,196,2.3877551020408165,0,7.362244897959184
blackassign0021.txt,22,46,-0.3529411712802769,0.12977099211875764,10.693877551020408,0.9961832061068703,4.676024302850911,10.693877551020408,522,524,2.49618320610687,0,7.603053435114504
blackassign0022.txt,12,10,0.09090908677685969,0.12790697600054085,6.615384615384615,1.0,3.046153846153846,6.615384615384615,172,172,2.4302325581395348,0,7.273255813953488
blackassign0023.txt,30,15,0.3333333259259261,0.06777108423528451,10.53968253968254,0.9969879518072289,4.6146681965959075,10.53968253968254,662,664,2.2710843373493974,0,6.948795180722891
blackassign0024.txt,23,3,0.7692307396449716,0.09059233417912078,14.35,0.9721254355400697,6.128850174216028,14.35,279,287,2.3066202090592336,0,7.101045296167247
blackassign0025.txt,21,11,0.3124999902343753,0.0655737703574308,12.512820512820513,0.9569672131147541,5.387915090374108,12.512820512820513,467,488,2.057377049180328,0,6.405737704918033
blackassign0026.txt,23,15,0.21052631024930765,0.07949790778347718,10.863636363636363,0.9581589958158996,4.728718143780905,10.863636363636363,458,478,2.2615062761506275,0,6.903765690376569
blackassign0027.txt,27,26,0.01886792417230332,0.09233449461265768,11.038461538461538,0.9668989547038328,4.8021441972661485,11.038461538461538,555,574,2.0888501742160277,0,6.531358885017422
blackassign0028.txt,35,27,0.12903225598335072,0.11272727252231406,12.790697674418604,0.9836363636363636,5.509733615221988,12.790697674418604,541,550,2.329090909090909,0,7.458181818181818
blackassign0029.txt,66,34,0.3199999968,0.09852216739061856,13.533333333333333,0.9635467980295567,5.798752052545156,13.533333333333333,978,1015,2.4669950738916255,0,7.489655172413793
blackassign0030.txt,60,38,0.22448979362765517,0.1611842102612102,7.69620253164557,0.9490131578947368,3.4580862758161226,7.69620253164557,577,608,2.2302631578947367,0,6.832236842105263
blackassign0031.txt,65,38,0.26213591978508816,0.11990686831209911,10.226190476190476,0.9813736903376019,4.483025666611232,10.226190476190476,843,859,2.5145518044237485,0,7.538998835855646
